comment_id,sentence_pos,stereotype,stereotype_pred,stereotype_soft,stereotype_pred_soft
737,1,0,0,0.2689,0.06099944
321,3,0,0,0.2689,0.011153045
819,1,1,1,0.9526,0.628899
746,1,0,0,0.0474,0.102507375
397,8,1,1,0.9526,0.6494981
397,2,0,0,0.0474,0.06655762
264,17,1,0,0.9526,0.3338148
85,1,0,0,0.0474,0.28027683
202,2,1,0,0.9526,0.05865381
282,1,0,0,0.0474,0.1050617
339,6,1,1,0.9526,0.83925885
264,9,0,0,0.0474,0.094011284
628,1,0,0,0.0474,0.030833386
559,1,0,0,0.0474,0.06455896
121,2,1,1,0.9526,0.59735006
342,4,0,0,0.0474,-0.03856856
791,1,0,0,0.0474,0.025661847
662,1,0,0,0.2689,0.13365476
578,1,1,0,0.9526,0.008754148
250,10,0,0,0.0474,0.07533137
560,4,1,1,0.9526,0.9695396
250,11,0,0,0.0474,0.16704014
190,3,1,1,0.9526,0.5884192
616,2,0,1,0.2689,0.83500475
48,1,1,1,0.9526,0.8398453
50,1,0,0,0.0474,0.027142525
685,1,0,0,0.0474,0.03063708
174,1,0,0,0.0474,-0.009837148
244,2,1,1,0.9526,0.78515714
622,1,0,0,0.0474,0.11487502
354,5,0,0,0.0474,0.39522243
164,3,0,1,0.0474,0.940739
663,1,0,0,0.0474,0.009631856
725,1,0,0,0.0474,0.061773207
647,2,0,0,0.0474,-0.014392422
507,3,0,0,0.0474,0.3000362
237,1,1,0,0.9526,0.16439998
553,2,0,0,0.2689,0.013004719
253,4,0,1,0.0474,0.52835125
518,1,0,1,0.2689,0.8960958
693,3,0,0,0.0474,0.10121775
714,1,0,0,0.0474,0.057837956
284,1,0,0,0.2689,0.062210135
760,2,0,0,0.2689,0.19956832
606,2,0,0,0.2689,0.114599764
780,1,0,0,0.2689,0.30263743
121,4,0,0,0.0474,0.1819543
250,2,0,0,0.0474,0.027972851
307,3,0,1,0.2689,0.5675434
604,5,1,1,0.9526,0.6719006
250,9,0,0,0.0474,-0.0006045556
250,14,0,0,0.0474,0.07461458
264,3,0,0,0.0474,0.013825341
680,1,0,0,0.0474,0.07386083
366,5,0,0,0.0474,0.34139326
524,1,0,1,0.0474,0.7555213
32,5,0,0,0.0474,0.19876221
741,3,1,1,0.9526,0.6425047
267,1,1,1,0.9526,0.5336777
362,1,0,1,0.0474,0.7566982
267,2,0,0,0.0474,0.49036568
11,2,0,1,0.0474,1.0006595
179,1,0,0,0.0474,0.064225696
210,1,0,0,0.0474,0.37365076
377,1,0,0,0.0474,0.26592165
468,1,0,0,0.0474,0.05086298
794,2,1,1,0.9526,0.98624057
692,1,0,0,0.2689,0.028451074
103,1,0,0,0.0474,-0.063018166
63,1,1,1,0.9526,0.8358682
229,1,0,1,0.0474,0.5337669
