comment_id,sentence_pos,stereotype,stereotype_pred,stereotype_soft,stereotype_pred_soft
737,1,0,0,0.2689,0.3340158
321,3,0,0,0.2689,0.124854155
819,1,1,1,0.9526,0.8060483
746,1,0,0,0.0474,0.24881604
397,8,1,1,0.9526,0.5173104
397,2,0,0,0.0474,0.06372372
264,17,1,1,0.9526,0.74255615
85,1,0,0,0.0474,0.30744496
202,2,1,1,0.9526,0.8418682
282,1,0,0,0.0474,0.08351359
339,6,1,1,0.9526,0.74081504
264,9,0,0,0.0474,0.23250897
628,1,0,0,0.0474,0.06533964
559,1,0,0,0.0474,0.18158215
121,2,1,1,0.9526,0.82318157
342,4,0,0,0.0474,0.19415686
791,1,0,0,0.0474,0.1902124
662,1,0,0,0.2689,0.34411913
578,1,1,0,0.9526,0.27179673
250,10,0,0,0.0474,0.28511304
560,4,1,1,0.9526,0.86078084
250,11,0,1,0.0474,0.56418097
190,3,1,1,0.9526,0.8874533
616,2,0,1,0.2689,0.8758669
48,1,1,1,0.9526,0.8824391
50,1,0,0,0.0474,0.34382138
685,1,0,0,0.0474,0.053583022
174,1,0,0,0.0474,0.22345503
244,2,1,1,0.9526,0.7564718
622,1,0,0,0.0474,0.18218829
354,5,0,0,0.0474,0.26313153
164,3,0,1,0.0474,0.7933154
663,1,0,0,0.0474,0.21268167
725,1,0,0,0.0474,0.20368943
647,2,0,0,0.0474,0.18447492
507,3,0,1,0.0474,0.60183346
237,1,1,0,0.9526,0.41062057
553,2,0,0,0.2689,0.20291519
253,4,0,1,0.0474,0.6847258
518,1,0,1,0.2689,0.720662
693,3,0,1,0.0474,0.5043167
714,1,0,0,0.0474,0.1840221
284,1,0,0,0.2689,0.14370976
760,2,0,1,0.2689,0.5265274
606,2,0,0,0.2689,0.46240672
780,1,0,0,0.2689,0.23079902
121,4,0,1,0.0474,0.7112314
250,2,0,0,0.0474,0.18412685
307,3,0,1,0.2689,0.6677702
604,5,1,1,0.9526,0.7652053
250,9,0,0,0.0474,0.18411323
250,14,0,0,0.0474,0.24281962
264,3,0,0,0.0474,0.16718842
680,1,0,0,0.0474,0.099428
366,5,0,0,0.0474,0.1139365
524,1,0,1,0.0474,0.529926
