comment_id,sentence_pos,stereotype,stereotype_pred,stereotype_soft,stereotype_pred_soft
737,1,0,0,0.2689,0.0229101
321,3,0,0,0.2689,0.036319725
819,1,1,1,0.9526,0.9271262
746,1,0,0,0.0474,0.18947394
397,8,1,0,0.9526,0.14635208
397,2,0,0,0.0474,-0.02482802
264,17,1,1,0.9526,0.64943403
85,1,0,0,0.0474,0.25092945
202,2,1,0,0.9526,0.22878829
282,1,0,0,0.0474,0.108427055
339,6,1,1,0.9526,0.6553733
264,9,0,0,0.0474,0.13779643
628,1,0,0,0.0474,0.01279473
559,1,0,0,0.0474,-0.04176757
121,2,1,1,0.9526,0.9647462
342,4,0,0,0.0474,0.067908525
791,1,0,0,0.0474,0.17467189
662,1,0,0,0.2689,0.35872284
578,1,1,0,0.9526,0.4561294
250,10,0,0,0.0474,0.075561635
560,4,1,1,0.9526,0.8350888
250,11,0,0,0.0474,0.3549004
190,3,1,1,0.9526,0.79053694
616,2,0,0,0.2689,0.14969543
48,1,1,1,0.9526,0.671899
50,1,0,0,0.0474,0.11116068
685,1,0,0,0.0474,0.025635958
174,1,0,0,0.0474,0.046449102
244,2,1,1,0.9526,0.8560062
622,1,0,0,0.0474,0.01065413
354,5,0,0,0.0474,0.09027069
164,3,0,1,0.0474,0.9388407
663,1,0,0,0.0474,0.10828645
725,1,0,0,0.0474,0.10298931
647,2,0,0,0.0474,0.1580479
507,3,0,0,0.0474,0.17362785
237,1,1,0,0.9526,0.38866398
553,2,0,0,0.2689,0.08362137
253,4,0,0,0.0474,0.41372547
518,1,0,1,0.2689,0.6940521
693,3,0,0,0.0474,0.21335585
714,1,0,0,0.0474,0.07967349
284,1,0,0,0.2689,0.2703166
760,2,0,1,0.2689,0.71650225
606,2,0,0,0.2689,0.22120625
780,1,0,1,0.2689,0.5034734
121,4,0,0,0.0474,0.19018991
250,2,0,0,0.0474,0.0363902
307,3,0,0,0.2689,0.14343625
604,5,1,1,0.9526,0.76621145
250,9,0,0,0.0474,0.10373577
250,14,0,0,0.0474,0.124572
264,3,0,0,0.0474,0.06574573
680,1,0,0,0.0474,0.12689975
366,5,0,0,0.0474,0.025711808
524,1,0,0,0.0474,0.4457809
32,5,0,0,0.0474,0.43337512
741,3,1,0,0.9526,0.42911598
267,1,1,0,0.9526,0.37174568
362,1,0,1,0.0474,0.6584447
267,2,0,0,0.0474,0.37131795
11,2,0,1,0.0474,0.5887063
179,1,0,0,0.0474,0.05855073
210,1,0,0,0.0474,0.2537531
377,1,0,0,0.0474,0.2756121
468,1,0,0,0.0474,0.04469592
