comment_id,sentence_pos,stereotype,stereotype_pred,softmax_confidence,temperature
737,1,0,0,0.6747497,1.568405032157898
321,3,0,0,0.9498441,
819,1,1,1,0.8379631,
746,1,0,0,0.8607709,
397,8,1,0,0.8343975,
397,2,0,0,0.93606883,
264,17,1,1,0.7246779,
85,1,0,0,0.7507455,
202,2,1,0,0.9227679,
282,1,0,0,0.93186784,
339,6,1,1,0.6687706,
264,9,0,0,0.92719156,
628,1,0,0,0.9426925,
559,1,0,0,0.9066802,
121,2,1,1,0.8531339,
342,4,0,0,0.92715335,
791,1,0,0,0.9343325,
662,1,0,0,0.8522769,
578,1,1,0,0.8048238,
250,10,0,0,0.8929921,
560,4,1,1,0.8592598,
250,11,0,0,0.77957404,
190,3,1,1,0.53246444,
616,2,0,0,0.5340495,
48,1,1,1,0.6492755,
50,1,0,0,0.9326876,
685,1,0,0,0.94556314,
174,1,0,0,0.9507206,
244,2,1,1,0.7004226,
622,1,0,0,0.94843984,
354,5,0,0,0.6344542,
164,3,0,1,0.7571313,
663,1,0,0,0.94508517,
725,1,0,0,0.94745475,
647,2,0,0,0.92071503,
507,3,0,0,0.8716979,
237,1,1,0,0.87800515,
553,2,0,0,0.9467434,
253,4,0,0,0.5509607,
518,1,0,1,0.7707039,
693,3,0,0,0.7364823,
714,1,0,0,0.9435884,
284,1,0,0,0.91861784,
760,2,0,0,0.6821411,
606,2,0,0,0.8209751,
780,1,0,0,0.929572,
121,4,0,0,0.80053335,
250,2,0,0,0.9188091,
307,3,0,0,0.5220146,
604,5,1,1,0.79224175,
250,9,0,0,0.91524637,
250,14,0,0,0.8459191,
264,3,0,0,0.94718033,
680,1,0,0,0.9253375,
366,5,0,0,0.8840266,
524,1,0,1,0.5099189,
32,5,0,1,0.5318024,
741,3,1,0,0.6457648,
267,1,1,1,0.5174678,
362,1,0,1,0.806239,
267,2,0,1,0.6238253,
11,2,0,0,0.6883538,
179,1,0,0,0.92604107,
210,1,0,0,0.76528907,
377,1,0,0,0.81471604,
468,1,0,0,0.94990194,
794,2,1,1,0.8599477,
692,1,0,0,0.9389484,
103,1,0,0,0.86660445,
63,1,1,1,0.79514897,
229,1,0,1,0.64770174,
110,3,0,0,0.9352404,
390,6,0,0,0.62311906,
34,3,0,0,0.77842283,
778,3,0,0,0.9366317,
118,3,0,0,0.7637883,
781,3,0,0,0.5621033,
528,2,0,0,0.8179112,
264,12,0,0,0.707952,
412,4,0,0,0.80484235,
598,2,0,0,0.95013124,
718,2,0,0,0.87781334,
127,1,0,0,0.93063986,
188,1,0,0,0.9449518,
