comment_id,sentence_pos,stereotype,stereotype_pred
0,1,0,1
0,2,0,1
0,3,0,1
0,4,0,1
0,5,0,1
0,6,1,1
1,1,0,1
1,2,0,1
2,1,0,1
3,1,0,1
4,1,0,1
4,2,0,1
4,3,0,1
4,4,0,1
4,5,0,1
4,6,0,1
4,7,0,1
5,1,1,1
5,2,1,1
5,3,0,1
6,1,0,1
6,2,0,1
7,1,0,1
8,1,0,1
8,2,0,1
9,1,1,1
10,1,1,1
10,2,1,1
11,1,1,1
11,2,0,1
12,1,0,1
12,2,0,1
13,1,0,1
13,2,0,1
14,1,0,1
15,1,0,1
15,2,1,1
15,3,0,1
16,1,0,1
17,1,0,1
18,1,0,1
18,2,0,1
18,3,0,1
19,1,0,1
20,1,0,1
20,2,0,1
21,1,0,1
21,2,1,1
22,1,0,1
22,2,0,1
23,1,0,1
24,1,1,1
25,1,1,1
26,1,1,1
27,1,0,1
27,2,0,1
28,1,0,1
29,1,0,1
30,1,0,1
30,2,0,1
31,1,0,1
32,1,0,1
32,2,0,1
32,3,0,1
32,4,0,1
32,5,0,1
32,6,0,1
33,1,0,1
34,1,0,1
34,2,0,1
34,3,0,1
34,4,1,1
34,5,0,1
35,1,1,1
35,2,0,1
36,1,1,1
37,1,0,1
37,2,0,1
37,3,1,1
38,1,1,1
38,2,1,1
38,3,0,1
38,4,1,1
39,1,0,1
39,2,0,1
40,1,0,1
40,2,0,1
40,3,0,1
41,1,1,1
41,2,0,1
42,1,1,1
43,1,0,1
44,1,1,1
44,2,0,1
44,3,0,1
45,1,1,1
45,2,1,1
46,1,0,1
46,2,0,1
46,3,0,1
46,4,0,1
46,5,0,1
46,6,1,1
47,1,0,1
47,2,0,1
47,3,0,1
47,4,0,1
47,5,0,1
47,6,0,1
48,1,1,1
49,1,0,1
50,1,0,1
50,2,0,1
50,3,0,1
50,4,0,1
51,1,0,1
52,1,0,1
53,1,1,1
53,2,0,1
53,3,1,1
53,4,0,1
54,1,0,1
54,2,0,1
54,3,0,1
55,1,0,1
55,2,1,1
55,3,0,1
55,4,0,1
56,1,0,1
57,1,0,1
58,1,1,1
59,1,0,1
60,1,0,1
61,1,0,1
62,1,1,1
63,1,1,1
63,2,1,1
63,3,1,1
64,1,1,1
65,1,1,1
66,1,1,1
67,1,0,1
67,2,0,1
67,3,1,1
68,1,0,1
69,1,0,1
70,1,0,1
71,1,0,1
72,1,0,1
73,1,0,1
