comment_id,sentence_pos,stereotype,stereotype_pred
0,1,0,0
0,2,0,1
0,3,0,0
0,4,0,0
0,5,0,0
0,6,1,0
1,1,0,0
1,2,0,1
2,1,0,0
3,1,0,0
4,1,0,0
4,2,0,1
4,3,0,1
4,4,0,0
4,5,0,0
4,6,0,0
4,7,0,0
5,1,1,0
5,2,1,0
5,3,0,0
6,1,0,0
6,2,0,0
7,1,0,0
8,1,0,0
8,2,0,0
9,1,1,1
10,1,1,0
10,2,1,0
11,1,1,0
11,2,0,0
12,1,0,0
12,2,0,0
13,1,0,0
13,2,0,1
14,1,0,1
15,1,0,1
15,2,1,0
15,3,0,0
16,1,0,0
17,1,0,0
18,1,0,0
18,2,0,0
18,3,0,0
19,1,0,1
20,1,0,0
20,2,0,0
21,1,0,0
21,2,1,0
22,1,0,0
22,2,0,0
23,1,0,1
24,1,1,1
25,1,1,1
26,1,1,1
27,1,0,0
27,2,0,1
28,1,0,0
29,1,0,0
30,1,0,0
30,2,0,0
31,1,0,0
32,1,0,0
32,2,0,1
32,3,0,0
32,4,0,0
32,5,0,0
32,6,0,0
33,1,0,1
34,1,0,0
34,2,0,1
34,3,0,1
34,4,1,0
34,5,0,0
35,1,1,1
35,2,0,0
36,1,1,0
37,1,0,0
37,2,0,0
37,3,1,0
38,1,1,0
38,2,1,1
38,3,0,0
38,4,1,0
39,1,0,0
39,2,0,0
40,1,0,0
40,2,0,0
40,3,0,0
41,1,1,1
41,2,0,0
42,1,1,0
43,1,0,0
44,1,1,0
44,2,0,0
44,3,0,0
45,1,1,0
45,2,1,0
46,1,0,0
46,2,0,0
46,3,0,0
46,4,0,0
46,5,0,0
46,6,1,0
47,1,0,0
47,2,0,1
47,3,0,0
47,4,0,0
47,5,0,0
47,6,0,0
48,1,1,0
49,1,0,0
50,1,0,0
50,2,0,1
50,3,0,1
50,4,0,0
51,1,0,1
52,1,0,1
53,1,1,0
53,2,0,1
53,3,1,0
53,4,0,1
54,1,0,1
54,2,0,0
54,3,0,0
55,1,0,0
55,2,1,0
