comment_id,sentence_pos,stereotype,stereotype_pred,stereotype_soft,stereotype_pred_soft
737,1,0,0,0.2689,0.3333733
321,3,0,0,0.2689,0.32145864
819,1,1,1,0.9526,0.91950554
746,1,0,0,0.0474,0.22808269
397,8,1,0,0.9526,0.4966539
397,2,0,0,0.0474,0.13422157
264,17,1,1,0.9526,0.5110233
85,1,0,1,0.0474,0.6573236
202,2,1,0,0.9526,0.25013962
282,1,0,0,0.0474,0.33464456
339,6,1,1,0.9526,0.745763
264,9,0,0,0.0474,0.35580856
628,1,0,0,0.0474,0.061362606
559,1,0,0,0.0474,0.3072801
121,2,1,1,0.9526,0.92198694
342,4,0,0,0.0474,0.091857724
791,1,0,0,0.0474,0.10349151
662,1,0,0,0.2689,0.18364145
578,1,1,0,0.9526,0.21813388
250,10,0,0,0.0474,0.41440994
560,4,1,1,0.9526,0.92872614
250,11,0,0,0.0474,0.3724324
190,3,1,1,0.9526,0.85485566
616,2,0,1,0.2689,0.5985444
48,1,1,1,0.9526,0.85897464
50,1,0,0,0.0474,0.083204105
685,1,0,0,0.0474,0.06662415
174,1,0,0,0.0474,0.02193822
244,2,1,1,0.9526,0.7661611
622,1,0,0,0.0474,0.36315498
354,5,0,1,0.0474,0.7363356
164,3,0,1,0.0474,0.8731351
663,1,0,0,0.0474,0.04009833
725,1,0,0,0.0474,0.11780662
647,2,0,0,0.0474,0.16924387
507,3,0,1,0.0474,0.50688094
237,1,1,0,0.9526,0.32132095
553,2,0,0,0.2689,0.18368693
253,4,0,1,0.0474,0.5042234
518,1,0,1,0.2689,0.83228034
693,3,0,0,0.0474,0.43141937
714,1,0,0,0.0474,0.16126437
284,1,0,0,0.2689,0.25020558
760,2,0,1,0.2689,0.50023335
606,2,0,0,0.2689,0.28212562
780,1,0,0,0.2689,0.34364003
121,4,0,0,0.0474,0.48265773
250,2,0,0,0.0474,0.27616906
307,3,0,1,0.2689,0.77324516
604,5,1,1,0.9526,0.78775436
250,9,0,0,0.0474,0.34412897
250,14,0,0,0.0474,0.4033464
264,3,0,0,0.0474,0.26059806
680,1,0,0,0.0474,0.14186823
366,5,0,0,0.0474,0.3242504
524,1,0,1,0.0474,0.6528933
32,5,0,0,0.0474,0.34904918
741,3,1,1,0.9526,0.77298486
267,1,1,1,0.9526,0.68354696
362,1,0,1,0.0474,0.87010413
267,2,0,1,0.0474,0.86596876
11,2,0,0,0.0474,0.32469735
179,1,0,0,0.0474,0.28182375
210,1,0,0,0.0474,0.4645078
377,1,0,0,0.0474,0.43997437
468,1,0,0,0.0474,0.011917542
794,2,1,1,0.9526,0.8959994
692,1,0,0,0.2689,0.13729489
103,1,0,0,0.0474,0.12605931
63,1,1,1,0.9526,0.9483424
229,1,0,1,0.0474,0.64581555
110,3,0,0,0.0474,0.13666627
390,6,0,1,0.0474,0.5568345
34,3,0,1,0.0474,0.5592338
778,3,0,0,0.0474,0.20147622
118,3,0,1,0.2689,0.5987293
781,3,0,0,0.2689,0.40625224
528,2,0,0,0.2689,0.29106688
264,12,0,0,0.0474,0.4205556
412,4,0,0,0.2689,0.27038598
598,2,0,0,0.2689,0.09805546
718,2,0,0,0.0474,0.23359448
127,1,0,0,0.0474,0.116132624
188,1,0,0,0.0474,0.16511066
666,1,0,0,0.2689,0.43917304
318,11,1,1,0.9526,0.5895007
288,1,0,0,0.0474,0.4614036
162,1,0,0,0.0474,0.42259037
8,1,0,0,0.0474,0.13053057
412,7,1,1,0.9526,0.8050768
824,4,1,1,0.9526,0.85029995
561,1,1,0,0.9526,0.40312988
539,1,0,0,0.0474,0.38870442
816,1,0,0,0.0474,0.1338355
584,1,0,0,0.0474,0.16373922
419,1,0,0,0.2689,0.16467509
764,1,1,1,0.9526,0.79772264
353,3,0,0,0.0474,0.4262702
433,1,0,0,0.0474,0.044245556
762,1,1,1,0.9526,0.88416415
250,13,0,0,0.0474,0.47833169
288,2,0,0,0.0474,0.4895723
327,1,0,0,0.0474,0.354092
264,22,0,0,0.0474,0.41519085
190,2,0,0,0.2689,0.15802278
229,2,0,0,0.0474,0.18917918
583,1,0,0,0.0474,0.07330645
632,7,1,1,0.9526,0.8510996
797,2,0,1,0.2689,0.5533849
675,1,0,1,0.2689,0.72921526
109,2,0,1,0.0474,0.50203574
331,1,1,1,0.9526,0.8580126
501,6,0,0,0.0474,0.04791768
323,1,0,0,0.0474,0.3969309
613,1,1,1,0.9526,0.6970981
570,2,1,1,0.9526,0.75322634
710,3,1,0,0.9526,0.41070744
318,17,1,1,0.9526,0.78543794
297,2,0,0,0.0474,0.42989138
622,4,0,0,0.0474,0.4818926
288,5,0,0,0.2689,0.24595846
299,5,0,0,0.0474,0.08511334
290,2,0,0,0.2689,0.2697177
51,1,0,0,0.0474,0.115209244
372,1,0,1,0.0474,0.53403676
313,1,0,0,0.0474,0.3106689
150,2,1,0,0.9526,0.35792333
264,18,0,0,0.0474,0.29552054
740,3,0,0,0.0474,0.12761629
659,2,1,1,0.9526,0.8703529
210,2,0,0,0.0474,0.29720986
191,1,0,0,0.0474,0.04555729
185,1,0,1,0.0474,0.7358126
468,2,1,1,0.9526,0.53641635
169,1,1,0,0.9526,0.18524407
701,1,0,0,0.2689,0.43148714
588,2,1,0,0.9526,0.19569424
264,1,0,0,0.0474,0.33679527
774,9,0,0,0.0474,0.095077634
130,1,0,0,0.2689,0.49466902
699,1,0,0,0.0474,0.16935112
369,3,0,1,0.0474,0.5366654
55,1,0,0,0.0474,0.21151553
339,1,1,1,0.9526,0.52306926
201,1,1,1,0.9526,0.9093042
22,2,0,1,0.0474,0.55409485
280,3,1,1,0.9526,0.5595971
257,3,1,1,0.9526,0.5356408
477,1,0,0,0.0474,0.18509407
95,3,0,0,0.0474,0.103211954
145,2,1,0,0.9526,0.30413574
618,4,0,0,0.0474,0.35408735
265,1,0,0,0.0474,0.31414405
641,1,0,0,0.0474,0.11009414
755,1,1,1,0.9526,0.529939
759,2,0,0,0.0474,0.25981617
157,1,0,0,0.0474,0.14227064
811,2,1,1,0.9526,0.65224
793,3,1,0,0.9526,0.22853014
37,3,1,0,0.9526,0.3968573
264,8,0,0,0.2689,0.3873825
596,2,0,0,0.0474,0.24375333
374,1,0,0,0.0474,0.10179461
35,1,1,1,0.9526,0.58114934
321,1,0,0,0.0474,0.45864567
34,2,0,0,0.0474,0.23839077
79,1,0,0,0.0474,0.2640404
322,4,0,1,0.2689,0.5489003
273,4,1,1,0.9526,0.5031732
397,6,0,0,0.0474,0.108065106
235,2,0,0,0.0474,0.08855692
228,1,0,0,0.0474,0.1056512
490,1,1,0,0.9526,0.24643432
814,4,1,0,0.9526,0.24302928
465,2,0,0,0.2689,0.29531986
265,2,0,0,0.0474,0.2603667
453,7,0,0,0.0474,0.029483465
311,5,1,1,0.9526,0.6663887
37,1,0,1,0.2689,0.8384588
693,1,1,0,0.9526,0.24233843
290,4,0,0,0.2689,0.47246253
608,2,1,1,0.9526,0.9526455
487,4,0,0,0.0474,0.30777013
571,1,0,0,0.2689,0.24867478
419,2,0,0,0.0474,0.3328418
498,3,0,0,0.0474,0.12744287
787,2,0,1,0.0474,0.729015
202,1,0,0,0.0474,0.24124655
484,2,0,1,0.0474,0.69637275
784,1,0,1,0.2689,0.6694552
493,5,0,0,0.0474,0.4525973
12,1,0,0,0.0474,0.22600476
506,1,1,1,0.9526,0.62950134
719,1,1,1,0.9526,0.9374393
562,1,1,1,0.9526,0.7622995
525,2,0,0,0.0474,0.15685083
664,1,0,0,0.0474,0.112819344
459,2,0,0,0.0474,0.47210294
632,6,1,1,0.9526,0.7326903
640,2,0,0,0.0474,0.083845854
46,3,0,0,0.0474,0.039504107
297,1,0,0,0.0474,0.45309466
494,4,1,1,0.9526,0.79533005
143,1,1,1,0.9526,0.6945093
432,3,0,0,0.0474,0.100121416
697,1,1,1,0.9526,0.7185612
708,1,0,0,0.0474,0.43395963
83,1,0,0,0.0474,0.19071114
664,3,0,0,0.0474,0.09677994
108,1,1,1,0.9526,0.6228316
355,3,0,0,0.0474,0.20781937
412,1,0,0,0.0474,0.28312442
790,1,0,0,0.0474,0.11049952
515,1,0,0,0.2689,0.41591695
655,3,0,0,0.0474,0.161899
361,3,0,1,0.0474,0.61248726
129,1,0,0,0.0474,0.082047135
371,1,0,0,0.0474,0.052835282
13,1,0,1,0.0474,0.93801063
607,1,1,1,0.9526,0.97254497
703,1,1,1,0.9526,0.6694171
354,4,0,0,0.0474,0.36075306
247,3,0,1,0.2689,0.69973284
389,2,0,1,0.0474,0.64340127
410,2,0,0,0.0474,0.06163469
390,1,0,0,0.0474,0.18069907
94,1,0,0,0.0474,0.10418515
264,4,0,0,0.0474,0.45070738
437,1,1,1,0.9526,0.6996535
373,3,0,0,0.0474,0.057534795
516,1,0,0,0.2689,0.24424511
20,1,0,0,0.0474,0.08191555
638,1,0,0,0.0474,0.119955815
