comment_id,sentence_pos,stereotype,stereotype_pred,stereotype_soft,stereotype_pred_soft
737,1,0,0,0.2689,0.07913067
321,3,0,0,0.2689,0.065430336
819,1,1,1,0.9526,0.66655165
746,1,0,0,0.0474,0.10098753
397,8,1,0,0.9526,0.44169837
397,2,0,0,0.0474,0.042521782
264,17,1,0,0.9526,0.39439133
85,1,0,0,0.0474,0.14630117
202,2,1,0,0.9526,0.25580433
282,1,0,0,0.0474,0.057887025
339,6,1,1,0.9526,0.81628144
264,9,0,0,0.0474,0.1199169
628,1,0,0,0.0474,-0.008360757
559,1,0,0,0.0474,0.074262545
121,2,1,1,0.9526,0.8748709
342,4,0,0,0.0474,0.030419247
791,1,0,0,0.0474,0.019887261
662,1,0,0,0.2689,0.17160006
578,1,1,0,0.9526,0.23744124
250,10,0,0,0.0474,0.12367193
560,4,1,1,0.9526,0.9881352
250,11,0,0,0.0474,0.3712445
190,3,1,1,0.9526,0.8392098
616,2,0,1,0.2689,0.8079138
48,1,1,1,0.9526,1.0355865
50,1,0,0,0.0474,0.028820943
685,1,0,0,0.0474,0.03244237
174,1,0,0,0.0474,0.021029199
244,2,1,1,0.9526,0.597265
622,1,0,0,0.0474,0.037524525
354,5,0,1,0.0474,0.59993374
164,3,0,1,0.0474,0.7818994
663,1,0,0,0.0474,0.037114903
725,1,0,0,0.0474,0.0535271
647,2,0,0,0.0474,0.07301095
507,3,0,0,0.0474,0.17894182
237,1,1,0,0.9526,0.069487914
553,2,0,0,0.2689,0.07973809
253,4,0,0,0.0474,0.29915598
518,1,0,0,0.2689,0.48716277
693,3,0,0,0.0474,0.22796674
714,1,0,0,0.0474,0.10434115
284,1,0,0,0.2689,0.12836143
760,2,0,1,0.2689,0.5302869
606,2,0,0,0.2689,0.14999287
780,1,0,0,0.2689,0.18831366
121,4,0,0,0.0474,0.19929104
250,2,0,0,0.0474,0.154878
307,3,0,0,0.2689,0.27061474
604,5,1,1,0.9526,0.900747
250,9,0,0,0.0474,0.094232515
250,14,0,0,0.0474,0.099776864
264,3,0,0,0.0474,0.06765945
680,1,0,0,0.0474,0.07409709
366,5,0,0,0.0474,0.11932154
524,1,0,1,0.0474,0.5157283
32,5,0,0,0.0474,0.4269672
741,3,1,1,0.9526,0.5942553
267,1,1,1,0.9526,0.6580696
362,1,0,1,0.0474,0.79869777
267,2,0,1,0.0474,0.68267494
11,2,0,0,0.0474,0.23517388
179,1,0,0,0.0474,0.073678605
210,1,0,0,0.0474,0.27729592
377,1,0,0,0.0474,0.39660022
468,1,0,0,0.0474,0.035187803
794,2,1,1,0.9526,0.8792751
692,1,0,0,0.2689,0.058425277
103,1,0,0,0.0474,0.054583486
63,1,1,1,0.9526,0.75892377
229,1,0,1,0.0474,0.7537544
110,3,0,0,0.0474,0.08749445
390,6,0,1,0.0474,0.6869304
34,3,0,0,0.0474,0.22293556
778,3,0,0,0.0474,0.040925488
118,3,0,0,0.2689,0.1330384
